1#675.9,824.9;717.5,704.3;817.3,704.3;750.8,716.8;721.7,833.2;734.1,920.5;784.0,708.4;742.4,575.4;746.6,587.9;725.8,525.5;767.4,438.2;784.0,492.2;788.2,558.7;696.7,575.4;705.0,517.2;717.5,454.8
2#676.0,824.7;754.9,737.5;817.2,704.2;750.8,716.7;721.7,833.0;734.2,920.2;784.0,708.4;742.5,575.4;746.6,587.9;725.8,525.6;767.4,438.3;784.0,492.3;788.2,558.8;696.8,575.4;705.1,517.3;717.5,455.0
3#717.8,785.5;759.1,740.0;816.9,702.8;750.8,719.4;717.8,830.9;734.3,917.6;783.9,707.0;742.5,574.8;742.5,587.2;721.9,525.2;767.3,438.5;783.9,500.4;788.0,558.3;697.1,574.8;701.2,516.9;717.8,455.0
4#718.2,790.5;756.1,744.1;810.9,702.0;747.7,718.8;718.2,824.2;735.0,912.7;781.4,706.2;739.2,575.5;743.5,584.0;718.2,525.0;764.5,440.7;785.6,495.5;785.6,558.7;692.9,575.5;701.3,516.5;718.2,453.3
5#718.3,790.0;756.1,743.8;810.7,701.8;747.7,718.6;718.3,823.6;735.1,916.0;781.3,706.0;739.3,575.7;743.5,584.1;718.3,525.3;764.5,437.1;785.5,491.7;785.5,558.9;693.1,575.7;701.5,516.9;718.3,453.9
6#713.7,792.1;759.4,746.5;805.0,696.7;742.8,709.1;717.9,821.1;734.5,916.5;776.0,705.0;738.6,568.1;742.8,584.7;717.9,522.4;763.5,439.5;788.4,497.6;788.4,559.8;693.0,580.5;688.8,514.1;717.9,456.1
7#799.5,729.5;748.8,725.3;799.5,691.5;727.7,704.1;719.2,814.0;736.1,911.1;761.5,695.7;736.1,568.9;740.3,573.2;731.9,509.8;765.7,442.2;795.3,497.1;786.8,560.5;689.6,577.4;685.4,509.8;719.2,454.9
8#787.6,727.4;800.1,651.9;775.0,668.7;712.1,681.3;720.5,802.8;733.1,903.3;745.7,677.1;741.5,555.6;741.5,559.8;745.7,492.7;770.8,442.5;800.1,496.9;787.6,555.6;691.2,551.4;687.0,501.1;720.5,450.8
9#786.1,726.4;795.1,650.0;771.1,655.5;707.8,667.1;703.6,770.1;721.7,869.6;741.7,663.4;734.6,542.6;734.6,546.0;735.9,479.5;771.4,439.1;800.7,491.4;782.1,541.3;683.3,539.5;674.8,494.2;710.0,444.3
10#784.7,725.3;790.0,648.2;767.2,642.2;703.5,653.0;686.8,737.4;710.3,835.9;737.8,649.6;727.7,529.6;727.7,532.3;726.0,466.2;771.9,435.8;801.4,486.0;776.6,526.9;675.4,527.6;662.7,487.4;699.5,437.7
11#783.2,724.3;785.0,646.3;763.4,629.0;699.2,638.8;669.9,704.7;698.8,802.2;733.8,635.9;720.8,516.6;720.8,518.5;716.2,453.0;772.5,432.4;802.0,480.5;771.2,512.6;667.5,515.7;650.5,480.5;689.0,431.2
12#781.8,723.3;779.9,644.5;759.5,615.7;694.9,624.6;653.1,672.0;687.4,768.5;729.8,622.1;713.9,503.6;713.9,504.8;706.4,439.8;773.0,429.1;802.7,475.1;765.7,498.3;659.6,503.8;638.3,473.6;678.5,424.7
13#780.3,722.2;774.9,642.6;755.6,602.5;690.6,610.4;636.2,639.3;676.0,734.8;725.9,608.4;707.0,490.7;707.0,491.0;696.6,426.5;773.6,425.7;803.3,469.6;760.2,484.0;651.7,491.9;626.1,466.8;668.0,418.2
14#778.8,721.2;769.8,640.7;751.7,589.2;686.4,596.3;619.3,606.7;664.6,701.2;721.9,594.6;700.1,477.7;700.1,477.3;686.7,413.3;774.2,422.3;803.9,464.2;754.7,469.6;643.8,480.0;614.0,459.9;657.6,411.6
15#777.4,720.2;764.8,638.9;747.8,576.0;682.1,582.1;602.5,574.0;653.2,667.5;717.9,580.9;693.2,464.7;693.2,463.5;676.9,400.1;774.7,419.0;804.6,458.8;749.2,455.3;635.9,468.1;601.8,453.0;647.1,405.1
