1#831.6,844.1;826.8,729.4;903.3,657.7;841.2,667.3;817.3,772.4;826.8,867.9;869.8,662.5;822.1,528.8;822.1,528.8;793.4,461.9;807.7,380.7;831.6,457.1;855.5,509.6;783.8,552.6;769.5,457.1;774.3,395.0
2#831.6,842.6;826.9,728.6;902.9,652.6;841.1,666.9;817.4,771.4;826.9,871.1;869.6,662.1;822.1,529.1;822.1,529.1;793.6,462.6;807.9,381.9;831.6,453.1;855.4,505.4;779.4,552.9;769.9,457.9;774.6,396.1
3#826.9,843.6;826.9,729.6;902.9,658.4;836.4,672.6;817.4,772.4;826.9,867.4;869.6,663.1;822.1,530.1;822.1,530.1;793.6,463.6;807.9,382.9;831.6,454.1;855.4,511.1;779.4,553.9;769.9,458.9;774.6,397.1
4#831.6,841.7;826.9,728.1;902.6,657.1;836.4,671.3;817.4,770.7;826.9,870.1;869.5,661.8;822.2,529.3;822.2,529.3;793.8,463.1;808.0,382.6;831.6,458.3;855.3,510.4;779.6,553.0;770.1,458.3;774.8,396.8
5#829.6,842.6;824.9,728.6;900.9,657.4;834.4,671.6;815.4,771.4;829.6,871.1;867.6,666.9;820.1,529.1;820.1,529.1;796.4,462.6;805.9,381.9;834.4,453.1;858.1,510.1;782.1,548.1;772.6,457.9;777.4,396.1
6#834.4,847.4;824.7,730.8;897.6,662.8;834.4,672.5;815.0,774.5;829.6,871.7;863.6,667.6;819.9,526.7;819.9,531.6;795.6,463.5;805.3,380.9;829.6,453.8;858.7,512.1;781.0,546.1;771.3,453.8;776.1,395.5
7#833.4,847.1;823.7,730.2;891.9,662.0;828.6,671.7;818.8,778.9;828.6,871.5;862.7,666.8;818.8,530.4;818.8,530.4;794.5,462.2;804.2,379.3;833.4,452.4;857.8,515.8;775.0,545.0;770.1,457.3;775.0,394.0
8#828.6,846.7;823.7,730.0;891.8,661.9;828.6,671.6;814.0,773.8;828.6,871.1;862.6,666.7;818.8,530.5;818.8,530.5;794.5,462.4;804.2,379.7;833.4,452.6;857.8,515.9;779.9,550.0;770.2,457.5;775.0,394.3
9#830.4,844.2;820.8,729.0;888.0,657.0;820.8,671.4;816.0,777.0;830.4,868.2;854.4,666.6;816.0,527.5;816.0,527.5;792.0,460.3;801.6,383.5;830.4,450.7;859.2,513.1;777.6,546.7;768.0,455.5;772.8,397.9
10#820.6,846.4;811.0,765.1;873.2,650.3;815.8,669.4;806.3,769.8;825.4,870.3;844.5,664.6;815.8,530.7;815.8,525.9;791.9,458.9;801.5,382.4;830.2,444.6;858.9,511.5;777.6,545.0;763.2,458.9;772.8,396.7
11#813.3,825.4;795.4,740.6;866.9,642.4;808.8,655.8;786.5,754.0;817.8,843.3;835.6,646.8;817.8,512.9;817.8,512.9;791.0,450.4;799.9,379.0;831.2,432.5;858.0,504.0;773.1,530.8;759.7,454.9;773.1,392.4
12#811.6,808.4;793.7,723.2;857.0,626.8;797.7,639.1;769.4,723.9;803.0,812.8;825.3,630.8;806.3,496.1;806.7,496.5;779.9,433.9;791.1,364.0;824.6,416.4;846.9,486.8;761.2,513.3;744.8,439.6;760.1,377.8
13#809.9,791.4;791.9,705.8;847.0,611.2;786.6,622.4;752.3,693.7;788.1,782.4;815.0,614.9;794.9,479.3;795.6,480.1;768.8,417.5;782.2,349.0;818.0,400.3;835.9,469.6;749.4,495.7;730.0,424.2;747.1,363.1
14#808.1,774.5;790.2,688.4;837.1,595.6;775.6,605.6;735.2,663.6;773.3,751.9;804.6,598.9;783.4,462.5;784.6,463.6;757.7,401.0;773.4,334.0;811.5,384.2;824.8,452.5;737.5,478.2;715.1,408.9;734.2,348.5
15#806.4,757.5;788.5,671.0;827.2,580.0;764.5,588.9;718.1,633.4;758.5,721.4;794.3,582.9;772.0,445.7;773.5,447.2;746.6,384.6;764.5,319.0;804.9,368.1;813.7,435.3;725.7,460.7;700.2,393.6;721.2,333.9
16#804.7,740.5;786.8,653.6;817.2,564.4;753.4,572.2;701.0,603.3;743.6,691.0;784.0,567.0;760.5,428.9;762.4,430.8;735.5,368.1;755.7,304.0;798.3,352.0;802.7,418.1;713.8,443.1;685.4,378.2;708.2,319.3
17#803.0,723.5;785.0,636.2;807.3,548.8;742.3,555.5;683.9,573.1;728.8,660.5;773.6,551.0;749.1,412.1;751.3,414.4;724.4,351.7;746.8,289.0;791.7,335.9;791.6,400.9;702.0,425.6;670.5,362.9;695.2,304.6
18#801.3,706.5;783.3,618.7;797.4,533.2;731.2,538.8;666.8,543.0;714.0,630.0;763.3,535.0;737.6,395.4;740.2,398.0;713.3,335.2;738.0,274.0;785.1,319.9;780.5,383.8;690.1,408.1;655.6,347.6;682.2,290.0
19#799.6,689.5;781.6,601.3;787.4,517.6;720.1,522.1;649.7,512.9;699.1,599.6;753.0,519.1;726.1,378.6;729.1,381.6;702.2,318.7;729.2,259.0;778.5,303.8;769.5,366.6;678.2,390.5;640.8,332.2;669.2,275.4
20#797.8,672.6;779.9,583.9;777.5,502.0;709.1,505.3;632.6,482.7;684.3,569.1;742.7,503.1;714.7,361.8;718.1,365.1;691.1,302.3;720.3,244.0;772.0,287.7;758.4,349.4;666.4,373.0;625.9,316.9;656.3,260.8
21#796.1,655.6;778.1,566.5;767.6,486.4;698.0,488.6;615.5,452.6;669.5,538.6;732.4,487.1;703.2,345.0;707.0,348.7;680.0,285.8;711.5,229.0;765.4,271.6;747.3,332.2;654.5,355.5;611.0,301.6;643.3,246.1
22#794.4,638.6;776.4,549.1;757.6,470.8;686.9,471.9;598.4,422.4;654.6,508.2;722.0,471.2;691.8,328.2;695.9,332.3;668.9,269.4;702.6,214.0;758.8,255.5;736.3,315.1;642.7,337.9;596.2,286.2;630.3,231.5
23#792.7,621.6;774.7,531.7;747.7,455.2;675.8,455.2;581.3,392.3;639.8,477.7;711.7,455.2;680.3,311.4;684.8,315.9;657.8,252.9;693.8,199.0;752.2,239.4;725.2,297.9;630.8,320.4;581.3,270.9;617.3,216.9
24#785.0,622.6;757.7,527.0;735.0,449.6;666.7,449.6;584.8,399.6;648.5,486.0;698.6,449.6;671.3,308.6;675.8,317.7;648.5,253.9;675.8,176.6;712.2,226.6;716.8,294.9;621.2,317.7;584.8,249.4;603.0,190.2
25#764.3,617.7;738.4,522.5;721.1,453.3;651.9,453.3;587.0,423.0;656.2,505.2;686.5,457.6;660.5,314.9;664.8,323.5;643.2,254.3;660.5,172.1;695.1,228.4;703.8,306.2;612.9,323.5;587.0,245.7;595.6,180.8
26#764.3,617.6;738.3,522.5;721.1,453.3;651.9,453.3;587.0,423.0;656.2,505.2;686.5,457.6;660.5,314.9;664.8,323.6;643.2,254.4;660.5,172.2;695.1,228.4;703.8,306.3;612.9,323.6;587.0,245.7;595.7,180.9
27#746.2,607.3;730.1,516.2;707.8,466.9;642.1,469.4;590.8,451.9;657.4,532.5;674.9,471.0;654.5,328.6;656.9,337.7;645.9,267.7;662.3,198.3;694.3,252.5;698.2,324.7;607.6,333.4;583.1,260.3;600.4,198.4
28#728.0,597.0;721.9,509.9;694.4,480.4;632.2,485.6;594.6,480.8;658.5,559.8;663.4,484.3;648.6,342.3;649.0,351.8;648.6,281.1;664.1,224.4;693.5,276.6;692.6,343.2;602.4,343.2;579.1,275.0;605.0,215.9
29#709.9,586.7;713.8,503.5;681.1,494.0;622.4,501.8;598.5,509.6;659.7,587.0;651.8,497.7;642.6,356.0;641.2,365.9;651.2,294.4;665.9,250.6;692.6,300.8;687.1,361.6;597.1,353.0;575.2,289.6;609.7,233.4
30#691.8,576.4;705.6,497.2;667.7,507.5;612.6,517.9;602.3,538.5;660.8,614.3;640.2,511.0;636.7,369.7;633.3,380.0;653.9,307.7;667.7,276.7;691.8,324.9;681.5,380.0;591.9,362.8;571.3,304.3;614.3,250.9
