1#854.3,808.4;854.3,716.1;900.4,594.3;850.1,598.5;845.9,716.1;858.5,816.8;871.0,598.5;816.5,489.4;816.5,489.4;787.1,430.7;795.5,384.5;829.1,422.3;854.3,468.4;774.5,497.8;719.9,455.8;686.4,413.9
2#859.3,809.9;850.8,716.6;901.7,593.5;850.8,597.7;846.5,716.6;859.3,814.2;872.0,597.7;816.8,487.4;816.8,487.4;787.1,432.2;795.6,381.3;829.6,423.7;850.8,470.4;778.6,500.1;723.5,453.4;685.3,411.0
3#857.9,808.7;845.4,717.1;895.4,587.9;845.4,600.4;841.2,717.1;857.9,817.0;870.4,596.2;812.1,483.8;816.2,487.9;791.2,425.4;791.2,379.6;828.7,417.1;853.7,471.3;774.6,496.3;720.4,454.6;687.1,412.9
4#763.3,654.9;794.6,580.7;884.4,588.5;833.6,596.3;829.7,709.6;845.4,803.4;857.1,592.4;814.1,475.2;814.1,479.1;790.7,420.5;798.5,381.5;833.6,420.5;853.2,463.5;771.1,487.0;716.5,451.8;685.2,408.8
5#762.3,655.1;781.4,578.7;865.5,582.5;819.6,590.2;804.3,697.2;838.7,788.9;842.5,586.3;812.0,464.0;815.8,467.8;789.0,406.7;783.3,362.7;827.2,410.5;850.2,460.2;773.7,471.7;720.2,448.7;685.8,410.5
6#754.0,658.9;758.0,562.7;842.2,570.8;806.1,578.8;766.0,671.0;830.1,759.1;822.1,574.8;806.1,454.5;806.1,454.5;790.1,390.4;778.0,354.3;818.1,402.4;842.2,446.5;766.0,458.5;705.9,430.5;685.8,406.4
7#782.4,708.9;745.3,571.4;823.3,560.3;789.9,560.3;730.4,653.2;808.5,723.8;804.7,560.3;793.6,441.3;793.6,441.3;782.4,378.1;793.6,385.6;823.3,407.9;834.5,441.3;752.7,441.3;693.2,426.4;682.1,396.7
8#769.4,684.8;733.9,567.4;802.0,546.0;763.7,546.0;696.1,609.1;768.5,681.9;781.0,546.0;774.7,428.1;773.6,425.9;760.8,364.5;797.2,382.4;824.5,410.1;815.9,425.9;734.6,429.2;682.0,422.4;682.1,394.1
9#756.4,660.7;722.6,563.4;780.8,531.8;737.4,531.8;661.8,564.9;728.6,639.9;757.4,531.8;755.8,414.9;753.7,410.6;739.2,350.9;800.9,379.1;825.8,412.3;797.4,410.6;716.4,417.0;670.9,418.5;682.2,391.4
10#743.4,636.6;711.2,559.4;759.5,517.5;711.2,517.5;627.5,520.8;688.6,598.0;733.7,517.5;736.9,401.7;733.7,395.2;717.6,337.3;804.5,375.9;827.0,414.5;778.8,395.2;698.3,404.9;659.7,414.5;682.2,388.8
11#723.3,619.7;694.4,546.1;736.4,502.9;688.5,502.6;608.2,505.3;662.2,580.9;711.1,502.9;713.4,391.2;710.3,384.8;695.6,327.2;776.1,373.6;798.8,408.2;754.7,385.4;674.7,394.6;640.4,407.6;663.0,384.7
12#703.2,602.7;677.5,532.7;713.3,488.4;665.8,487.8;588.9,489.8;635.9,563.9;688.6,488.4;689.9,380.7;686.8,374.5;673.7,317.1;747.7,371.2;770.5,401.8;730.7,375.6;651.1,384.4;621.0,400.6;643.8,380.6
13#683.0,585.8;660.7,519.4;690.2,473.8;643.1,472.9;569.7,474.3;609.5,546.8;666.0,473.8;666.4,370.2;663.4,364.1;651.7,307.0;719.4,368.9;742.3,395.5;706.6,365.9;627.4,374.1;601.7,393.7;624.6,376.6
14#662.9,568.8;643.8,506.0;667.1,459.2;620.4,458.1;550.4,458.8;583.2,529.8;643.4,459.2;642.9,359.7;639.9,353.7;629.8,296.9;691.0,366.5;714.1,389.1;682.6,356.1;603.8,363.8;582.4,386.8;605.4,372.5
15#642.8,551.9;627.0,492.7;644.1,444.7;597.6,443.2;531.1,443.2;556.8,512.7;620.9,444.7;619.3,349.2;616.5,343.4;607.8,286.9;662.6,364.2;685.8,382.8;658.5,346.3;580.2,353.6;563.0,379.8;586.3,368.4
16#622.7,534.9;610.1,479.3;621.0,430.1;574.9,428.4;511.8,427.7;530.5,495.7;598.3,430.1;595.8,338.7;593.0,333.0;585.9,276.8;634.2,361.8;657.6,376.4;634.5,336.5;556.6,343.3;543.7,372.9;567.1,364.3
17#602.5,518.0;593.3,466.0;597.9,415.5;552.2,413.5;492.6,412.2;504.1,478.6;575.7,415.5;572.3,328.2;569.6,322.6;563.9,266.7;605.9,359.5;629.4,370.1;610.4,326.8;532.9,333.0;524.4,366.0;547.9,360.3
18#582.4,501.0;576.4,452.6;574.8,401.0;529.5,398.7;473.3,396.7;477.8,461.6;553.2,401.0;548.8,317.7;546.1,312.3;542.0,256.6;577.5,357.1;601.1,363.7;586.4,317.0;509.3,322.8;505.0,359.0;528.7,356.2
19#562.3,484.1;559.6,439.3;551.7,386.4;506.8,383.8;454.0,381.2;451.4,444.5;530.6,386.4;525.3,307.2;522.7,301.9;520.0,246.5;549.1,354.8;572.9,357.4;562.3,307.2;485.7,312.5;485.7,352.1;509.5,352.1
20#553.6,472.5;528.2,378.7;528.2,392.4;489.1,392.4;469.6,398.3;510.6,431.5;506.7,392.4;504.7,316.2;502.8,304.5;496.9,257.6;530.1,363.1;557.5,349.4;541.9,310.4;467.6,318.2;461.8,363.1;485.2,361.2
21#555.1,478.4;581.7,398.6;509.1,405.8;460.7,398.6;453.4,398.6;378.4,434.9;480.0,401.0;482.5,326.0;482.5,316.3;480.0,263.1;499.4,364.7;535.7,359.9;521.2,318.7;443.8,328.4;438.9,369.5;468.0,367.1
22#555.7,500.2;570.4,414.6;487.3,448.9;423.8,446.4;423.8,400.0;352.9,439.1;460.4,444.0;460.4,331.6;460.4,321.8;460.4,265.6;462.9,373.1;511.8,363.3;499.5,326.7;418.9,334.0;416.5,382.9;453.1,373.1
